,category,lat,lng,name,rating,reviews,yelpid
7,chinese,43.68034,-79.43097,Dragon Delight,2.5,7,dragon-delight-toronto
8,chinese,43.6589,-79.441,House of Ann,3.0,1,house-of-ann-toronto
9,chinese,43.6402389,-79.4384537,Thai Chef Panda,3.0,4,thai-chef-panda-toronto
10,chinese,43.65349,-79.39694,Northeast Chinese Restaurant,3.0,21,northeast-chinese-restaurant-toronto
11,chinese,43.6163625,-79.4880767,Everest Hakka Cuisine,4.0,83,everest-hakka-cuisine-etobicoke
12,chinese,43.6465187,-79.3787384,Manchu Wok - Brookfield Place,3.0,1,manchu-wok-brookfield-place-toronto
13,chinese,43.69324,-79.3427899,Donlands Garden Chinese Restaurant,4.5,8,donlands-garden-chinese-restaurant-east-york
14,chinese,43.6603813,-79.4351578,Kengle Take Out,1.0,1,kengle-take-out-toronto
15,chinese,43.67863,-79.29818,Seaspray Restaurant,2.5,8,seaspray-restaurant-toronto
16,chinese,43.6545906,-79.3804932,Szechuan Express,1.5,13,szechuan-express-toronto-3
17,chinese,43.6822629,-79.3292977,South Sea Chinese Foods,2.5,6,south-sea-chinese-foods-toronto-4
18,chinese,43.65578,-79.39366,Double Tree Restaurant & Bar,4.0,1,double-tree-restaurant-and-bar-toronto
19,chinese,43.6569999,-79.4061399,Jing Peking Restaurant,5.0,1,jing-peking-restaurant-toronto
20,chinese,43.6973305,-79.4436264,Hai Feng Chinese,2.5,16,hai-feng-chinese-toronto
21,chinese,43.65304,-79.3968,Sen Ming Garden Restaurant,4.0,1,sen-ming-garden-restaurant-toronto
22,chinese,43.7076409,-79.3023117,New East Garden,3.0,13,new-east-garden-toronto
23,chinese,43.68915,-79.29844,King's Restaurant,4.0,1,kings-restaurant-toronto
24,chinese,43.6816,-79.33279,Green Lady,3.0,7,green-lady-toronto
25,chinese,43.65601,-79.3924399,Kowloon Dim Sum Restaurant,3.0,21,kowloon-dim-sum-restaurant-toronto
26,chinese,43.6449,-79.38549,Ti-Ki Ming,2.5,4,ti-ki-ming-toronto
27,chinese,43.7088259068,-79.3098655343,977 Cafe,2.5,4,977-cafe-toronto
28,chinese,43.70462,-79.36636,China Food,4.0,7,china-food-east-york
29,chinese,43.654871,-79.380438,Shanghai 360,1.5,5,shanghai-360-toronto
30,chinese,43.65596,-79.48742,Xin Yi Garden,2.5,3,xin-yi-garden-toronto
31,chinese,43.651162,-79.384508,WokLicious,4.0,1,woklicious-toronto
32,chinese,43.64922,-79.38515,Hot Bunzz Street Cuisine,3.0,2,hot-bunzz-street-cuisine-toronto
33,chinese,43.68468,-79.34662,Number One,1.0,1,number-one-toronto
34,chinese,43.64629,-79.37971,Szechuan Express,3.0,8,szechuan-express-toronto
35,chinese,43.66649,-79.31686,Pachira Asian Cuisine,1.0,1,pachira-asian-cuisine-toronto
36,chinese,43.72689,-79.48071,Panda Chef Wok & Sushi,2.5,3,panda-chef-wok-and-sushi-toronto
37,chinese,43.7148094,-79.305191,Jun's Kitchen,4.5,2,juns-kitchen-toronto
38,chinese,43.7417984,-79.3130569,The Bean Sprout,4.0,5,the-bean-sprout-toronto
39,chinese,43.67058,-79.2985999,Honey-Bee Restaurant,2.0,16,honey-bee-restaurant-toronto
40,chinese,43.6532199493,-79.3970802426,Easy Drink Easy Go,3.0,16,easy-drink-easy-go-toronto-2
41,chinese,43.68842,-79.39351,Best Z,2.0,3,best-z-toronto
42,chinese,43.65413,-79.39104,Tasty Chinese Food,3.0,7,tasty-chinese-food-toronto
43,chinese,43.71355,-79.33556,Mulan Chinese Cuisine,3.5,13,mulan-chinese-cuisine-north-york
44,chinese,43.65252,-79.39854,Sky Dragon Chinese Restaurant,2.5,115,sky-dragon-chinese-restaurant-toronto
45,chinese,43.7086784807,-79.4433294503,Li Cheng Restaurant,3.5,14,li-cheng-restaurant-north-york
46,chinese,43.65361,-79.3958,Dumpling & More,3.5,11,dumpling-and-more-toronto-2
47,chinese,43.69711,-79.44487,Ming City Restaurant & Bar,3.0,15,ming-city-restaurant-and-bar-york-2
48,chinese,43.65383,-79.39547,Ten Mile Aroma,2.5,30,ten-mile-aroma-toronto
49,chinese,43.6487694,-79.3816681,Szechuan Express,2.0,13,szechuan-express-toronto-2
0,chinese,43.6597099,-79.39711,Ken Ho's Snack Service,3.0,6,ken-hos-snack-service-toronto
1,chinese,43.63057,-79.48482,Wok Terminal,3.5,15,wok-terminal-etobicoke
2,chinese,43.6664587,-79.3746196,Westown Chinese,1.5,14,westown-chinese-toronto
3,chinese,43.7427493213,-79.3085763976,House of Wong,3.0,1,house-of-wong-toronto-2
4,chinese,43.65252,-79.39854,Canteen,3.0,14,canteen-toronto
5,chinese,43.6570702,-79.3993378,Kung Fu Duck,4.5,2,kung-fu-duck-toronto-4
6,chinese,43.6457335,-79.3877931,Manchu Wok,2.0,2,manchu-wok-toronto-7
7,chinese,43.68736,-79.30667,Harbour King Restaurant,2.5,2,harbour-king-restaurant-toronto
8,chinese,43.66283,-79.37714,Fireplace Restaurant,2.5,2,fireplace-restaurant-toronto
9,chinese,43.72003,-79.45618,Noodle King Chinese Food,3.0,12,noodle-king-chinese-food-north-york
10,chinese,43.638265,-79.417441,Pepper ring,2.5,4,pepper-ring-toronto
11,chinese,43.6588055314,-79.3659289102,Bamboo Kitchen,2.0,1,bamboo-kitchen-toronto
12,chinese,43.65519,-79.39848,Sang's Great Food,3.0,14,sangs-great-food-toronto
13,chinese,43.6479460728,-79.37931922,China Wok,3.0,2,china-wok-toronto
14,chinese,43.6544631,-79.3806653,Schezuan Express,2.0,8,schezuan-express-toronto
15,chinese,43.7269,-79.34207,Congee Star,3.5,67,congee-star-north-york
16,chinese,43.66061,-79.38399,China King,1.0,1,china-king-toronto
17,chinese,43.6574478149,-79.452911377,Happy Day Chinese,1.0,1,happy-day-chinese-toronto
18,chinese,43.65327,-79.39554,Chinese Bakery,3.5,36,chinese-bakery-toronto
19,chinese,43.6146,-79.4891899,Golden Stove,3.5,15,golden-stove-etobicoke
